key_home,key_away,key_date,key_competition,key_referee,key_stadium,home_goals,away_goals,attendance
12,2,55,1,1,8,4,3,38500
15,4,56,1,,,1,3,10000
16,10,56,1,13,,1,0,22000
17,6,56,1,8,,1,0,23000
20,7,56,1,6,,3,2,12000
13,9,56,1,15,9,1,0,73000
18,5,56,1,2,,2,1,19000
14,1,57,1,12,10,3,0,26000
3,15,58,1,9,3,2,0,10500
5,20,58,1,,4,2,0,25000
9,16,58,1,11,,0,4,12500
2,17,58,1,3,2,1,2,25000
1,11,58,1,8,1,0,3,28200
6,19,58,1,4,5,3,3,17300
10,14,59,1,6,7,0,2,47000
7,13,59,1,2,,1,0,16800
4,18,59,1,16,,0,1,33000
8,12,60,1,7,6,1,1,15000
14,16,61,1,6,10,3,0,35000
17,8,61,1,1,,1,1,23000
15,6,61,1,7,,4,1,10000
20,4,61,1,12,,3,2,12000
7,9,61,1,17,,1,1,15500
18,3,61,1,18,,0,1,16000
11,10,61,1,16,,3,0,88800
19,2,62,1,2,11,0,0,40000
13,5,62,1,9,9,4,1,68000
12,1,62,1,6,8,2,0,43000
10,12,63,1,8,7,1,2,47000
16,11,63,1,3,,1,1,24500
8,19,63,1,15,6,3,2,17500
5,7,64,1,16,4,1,0,25000
1,17,64,1,10,1,2,1,22000
2,15,64,1,4,2,2,2,24000
3,20,64,1,,3,1,0,11000
6,18,64,1,9,5,1,0,18000
4,13,64,1,14,,0,1,38000
9,14,65,1,13,,1,0,13000
12,16,66,1,,8,0,0,40000
13,3,66,1,6,9,2,0,68000
17,10,66,1,,,0,1,22400
15,8,67,1,13,,0,1,10000
18,2,67,1,6,,1,1,15700
20,6,67,1,18,,1,1,12000
7,4,67,1,3,,4,0,15000
19,1,67,1,16,11,1,0,25000
11,14,67,1,9,,2,1,88800
5,9,68,1,1,4,1,0,22000
16,17,69,1,15,,0,0,19000
4,5,69,1,4,,4,1,25000
10,19,69,1,14,7,2,2,45000
9,11,69,1,19,,0,3,20800
6,13,69,1,8,5,0,0,32200
1,15,70,1,12,1,0,0,22000
3,7,70,1,11,3,2,1,11000
8,18,70,1,17,6,2,2,18000
14,12,70,1,2,10,1,2,40000
2,20,71,1,7,2,3,1,20000
4,9,72,1,18,,1,2,20100
19,16,72,1,1,11,3,0,36000
17,14,73,1,12,,2,1,22000
15,10,73,1,,,1,1,10000
18,1,73,1,11,,1,0,18000
7,6,73,1,,,0,0,15000
5,3,73,1,8,4,1,1,25000
12,11,73,1,15,8,0,1,52300
20,8,74,1,19,,1,1,15000
13,2,74,1,3,9,7,0,56000
9,12,75,1,12,,1,2,14000
11,17,75,1,6,,1,0,88800
10,18,75,1,15,7,3,1,35600
16,15,76,1,6,,2,0,20000
1,20,76,1,1,1,1,2,22000
2,7,76,1,2,2,0,1,24000
3,4,76,1,16,3,1,0,11000
14,19,76,1,7,10,2,0,35000
8,13,76,1,9,6,1,3,20000
6,5,77,1,14,5,2,1,25000
20,10,78,1,17,,2,2,19000
13,1,78,1,,9,2,0,68000
17,12,78,1,18,,4,0,24200
7,8,79,1,,,3,1,15000
5,2,79,1,12,4,0,2,24000
4,6,79,1,11,,2,0,27000
3,9,79,1,13,3,1,1,11000
18,16,79,1,8,,1,1,18000
19,11,79,1,3,11,1,1,41000
15,14,80,1,4,,2,2,10000
9,17,81,1,7,,1,0,14000
11,15,81,1,2,,2,1,81900
10,13,81,1,6,7,1,2,53000
23,86,37,3,22,,5,2,59000
16,20,82,1,16,,1,0,20000
1,7,82,1,15,1,0,4,22000
8,5,82,1,11,6,2,1,16000
2,4,82,1,,2,2,0,24000
6,3,82,1,,5,0,1,16000
14,18,82,1,13,10,0,1,39000
12,19,82,1,19,8,0,1,44000
13,16,83,1,18,9,0,1,77000
15,12,83,1,,,2,4,12000
18,11,83,1,9,,0,1,20600
5,1,84,1,10,4,1,3,25500
4,8,84,1,12,,1,2,27000
3,2,84,1,15,3,3,1,10500
6,9,84,1,6,5,2,1,23000
19,17,84,1,17,11,3,1,36000
7,10,84,1,8,,2,3,18000
20,14,85,1,14,,1,3,13000
14,13,86,1,,10,0,3,38000
11,20,86,1,4,,3,1,83900
9,19,86,1,16,,2,2,16200
16,7,87,1,6,,1,0,21000
1,4,87,1,17,1,0,0,21000
8,3,87,1,1,6,1,1,15000
2,6,87,1,3,2,0,0,25000
10,5,87,1,7,7,3,0,49500
12,18,87,1,2,8,5,0,50000
17,15,88,1,13,,2,1,27500
15,19,89,1,6,,1,0,10000
2,9,89,1,,2,3,0,26000
20,12,89,1,6,,0,3,12000
13,11,89,1,2,9,1,1,80400
5,16,90,1,17,4,2,1,24000
3,1,90,1,18,3,2,1,11000
6,8,90,1,7,5,2,0,16000
7,14,90,1,11,,1,2,18500
4,10,90,1,14,,2,2,34000
18,17,91,1,16,,1,0,18000
12,13,92,1,3,8,3,6,46800
11,7,92,1,,,2,0,73300
14,5,92,1,8,10,2,1,39600
9,15,93,1,4,,2,0,13000
16,4,93,1,1,,1,0,21000
1,6,93,1,9,1,1,0,21000
8,2,93,1,14,6,1,2,15000
10,3,93,1,13,7,4,1,40000
19,18,93,1,12,11,3,2,41000
17,20,94,1,2,,1,0,29500
13,17,95,1,4,9,2,3,64000
5,11,95,1,6,4,2,1,25600
6,10,95,1,16,5,0,1,26000
3,16,96,1,7,3,0,0,12000
2,1,96,1,12,2,3,1,26500
8,9,96,1,,6,2,0,19000
20,19,96,1,1,,0,1,12000
18,15,96,1,,,2,1,19500
7,12,96,1,19,,1,0,18000
4,14,97,1,6,,2,1,35000
15,20,98,1,2,,2,0,16500
12,5,98,1,18,8,3,0,44000
14,3,98,1,9,10,3,2,36000
16,6,98,1,13,,2,2,22000
1,8,98,1,3,1,2,3,21000
10,2,98,1,17,7,0,3,50500
19,13,98,1,14,11,2,6,36400
